Protocol,Sparse config,Target,Metric,Direction,Gain mean,Gain std,Gain median,Gain IQR,Improved paths,Paths,Eval paths
family_upper_bound,s6_t3,field,ece,lower,0.679857,0.00921735,0.683063,0.00312675,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,field,nll,lower,262729,19170.2,256015,26278.5,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,history,coverage_95,higher,0.78662,0.0183082,0.782999,0.0158133,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,history,ece,lower,0.618939,0.00804331,0.617648,0.005634,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,history,nll,lower,857591,274826,782772,310178,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,material_parameter,coverage_95,higher,0.955556,0.018002,0.960417,0.021875,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,material_parameter,ece,lower,0.634132,0.0180699,0.634479,0.0270835,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
family_upper_bound,s6_t3,material_parameter,nll,lower,26532.7,19141.2,20017.4,8223.22,6,6,"cyclic,monotonic,nonproportional,pre_stress,random_amplitude,unload_reload"
reversal_curriculum,s2_t2,field,coverage_95,higher,0.899324,0.0304252,0.899479,0.0243412,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,field,crps,lower,-0.395527,0.443741,-0.379246,0.746136,0,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,field,ece,lower,0.652567,0.0162303,0.65803,0.0167217,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,field,nll,lower,82851.6,37016.6,95544,23148.5,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,history,coverage_95,higher,0.835773,0.0211629,0.833128,0.032721,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,history,ece,lower,0.634268,0.00769209,0.632753,0.0110042,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,history,nll,lower,397193,224833,384122,352083,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,material_parameter,coverage_95,higher,0.89375,0.0756528,0.897917,0.095833,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,material_parameter,ece,lower,0.609063,0.035837,0.596667,0.0265625,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s2_t2,material_parameter,nll,lower,431363,731656,96687.7,425304,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,field,coverage_95,higher,0.857878,0.0664414,0.837272,0.0581052,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,field,crps,lower,-0.499694,0.407398,-0.498942,0.294958,0,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,field,ece,lower,0.637554,0.014362,0.639164,0.0180598,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,field,nll,lower,81654.2,37109.2,91812.4,27424,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,history,coverage_95,higher,0.828808,0.015057,0.825908,0.0199145,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,history,ece,lower,0.627299,0.00727738,0.628851,0.00554275,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,history,nll,lower,425599,278262,337023,290152,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,material_parameter,coverage_95,higher,0.88125,0.0444226,0.883333,0.033333,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,material_parameter,ece,lower,0.61776,0.0246029,0.615938,0.0167183,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s4_t2,material_parameter,nll,lower,110535,126831,65209.9,103107,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,field,coverage_95,higher,0.859351,0.0684399,0.838086,0.0621333,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,field,crps,lower,-0.0461046,0.0590712,-0.0193743,0.0326821,0,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,field,ece,lower,0.647984,0.0252535,0.658776,0.0203473,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,field,nll,lower,91052.6,47209.2,101757,34322.6,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,history,coverage_95,higher,0.821406,0.0229646,0.825538,0.0284363,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,history,ece,lower,0.621779,0.00689719,0.621531,0.0071865,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,history,nll,lower,388621,192612,388180,265050,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,material_parameter,coverage_95,higher,0.895833,0.0170102,0.895833,0.0270833,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,material_parameter,ece,lower,0.638073,0.0654705,0.64,0.0676567,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
reversal_curriculum,s6_t3,material_parameter,nll,lower,36900.1,33052.4,31554,37124.7,4,4,"cyclic,nonproportional,pre_stress,random_amplitude"
strict_path_ood,s2_t2,field,coverage_95,higher,0.902148,0.0293966,0.91071,0.014876,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,field,crps,lower,-1.76834,0.897295,-1.88014,0.60894,0,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,field,ece,lower,0.60918,0.0169155,0.619487,0.02167,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,field,nll,lower,50855.6,26828.9,57601.6,30750.8,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,history,coverage_95,higher,0.806187,0.02825,0.797867,0.038136,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,history,ece,lower,0.617808,0.0249921,0.620999,0.008967,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,history,nll,lower,2.32898e+06,771030,2.53563e+06,308280,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,material_parameter,coverage_95,higher,0.831667,0.0361562,0.833333,0.041666,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,material_parameter,ece,lower,0.51975,0.0318827,0.527083,0.02625,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s2_t2,material_parameter,nll,lower,67869.1,53394.9,51706.5,68020.5,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,field,coverage_95,higher,0.889987,0.0271789,0.895313,0.024512,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,field,crps,lower,-1.58699,0.347782,-1.4941,0.08434,0,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,field,ece,lower,0.613424,0.0295151,0.632671,0.046248,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,field,nll,lower,49625.4,28154.3,53626,41037.7,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,history,coverage_95,higher,0.808787,0.0168492,0.800879,0.006044,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,history,ece,lower,0.622657,0.0279383,0.630035,0.027837,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,history,nll,lower,2.37352e+06,774981,2.57228e+06,560700,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,material_parameter,coverage_95,higher,0.815,0.0324894,0.8125,0.033333,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,material_parameter,ece,lower,0.519125,0.0281827,0.512083,0.034167,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s4_t2,material_parameter,nll,lower,39598.5,37866.1,20403.1,26545.3,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,field,coverage_95,higher,0.916302,0.0187807,0.909115,0.028679,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,field,crps,lower,-0.574932,0.627952,-0.240552,1.06719,0,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,field,ece,lower,0.635501,0.0321956,0.634715,0.04167,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,field,nll,lower,54574.2,29319,61596.3,32193.9,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,history,coverage_95,higher,0.799148,0.0214486,0.794919,0.012861,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,history,ece,lower,0.627748,0.0195506,0.636963,0.015583,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,history,nll,lower,2.38518e+06,761803,2.5934e+06,115500,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,material_parameter,coverage_95,higher,0.895833,0.0244738,0.9,0.041667,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,material_parameter,ece,lower,0.566458,0.0545164,0.591875,0.093542,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
strict_path_ood,s6_t3,material_parameter,nll,lower,143851,87679.7,141553,123828,5,5,"cyclic,nonproportional,pre_stress,random_amplitude,unload_reload"
