Ablation,Model,Load path,Metric,No-solver mean,Ablation mean,Mean improvement,Mean improvement %,Mean improved,No-solver median,Ablation median,Median improvement,Median improvement %,Median improved
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,7.87038,7.86036,0.01002,0.127313,yes,6.57605,9.54226,-2.96621,-45.1063,no
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,55.6153,26.5189,29.0964,52.3173,yes,30.4751,23.4514,7.0237,23.0473,yes
Tangent-linearized solver loss,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,110.048,2.16025,107.888,98.037,yes,95.0322,2.69969,92.3325,97.1592,yes
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,displacement_relative_l2,136.472,136.205,0.267,0.195645,yes,120.067,114.347,5.72,4.76401,yes
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,final_displacement_relative_l2,188.2,185.005,3.195,1.69766,yes,165.403,155.182,10.221,6.17945,yes
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,qp_history_relative_l2,1.6354,1.68896,-0.05356,-3.27504,no,1.57684,2.0499,-0.47306,-30.0005,no
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,qp_history_increment_relative_l2,2.27941,1.64929,0.63012,27.644,yes,2.45398,1.35211,1.10187,44.9013,yes
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,qp_reversal_eqp_increment_relative_l2,3.53759,4.02398,-0.48639,-13.7492,no,1.12792,3.47901,-2.35109,-208.445,no
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,qp_reversal_plastic_work_increment_relative_l2,3.57704,4.05581,-0.47877,-13.3845,no,1.12358,3.51285,-2.38927,-212.648,no
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,qp_reversal_yield_flag_mae,0.679842,0.534387,0.145455,21.3954,yes,0.869565,0.371542,0.498023,57.2727,yes
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,fem_residual_relative_rms,9.18409,9.13521,0.04888,0.532225,yes,7.6666,11.125,-3.4584,-45.11,no
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,fem_energy_relative_error,63.0233,29.9087,33.1146,52.5434,yes,34.4765,22.8599,11.6166,33.6943,yes
Tangent-linearized solver loss,hgo_qp_true_j2,unload_reload,fem_solver_linearized_residual_relative_rms,127.351,2.30583,125.045,98.1894,yes,109.92,3.04079,106.879,97.2336,yes
One-step dense Newton,hgo_qp_true_j2,cyclic,displacement_relative_l2,133.171,137.525,-4.354,-3.26948,no,117.103,117.343,-0.24,-0.204948,no
One-step dense Newton,hgo_qp_true_j2,cyclic,final_displacement_relative_l2,901.625,929.891,-28.266,-3.13501,no,791.036,778.633,12.403,1.56794,yes
One-step dense Newton,hgo_qp_true_j2,cyclic,qp_history_relative_l2,1.56931,1.53664,0.03267,2.08181,yes,1.44659,1.72184,-0.27525,-19.0275,no
One-step dense Newton,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,1.38132,1.37193,0.00939,0.679785,yes,1.43533,1.47155,-0.03622,-2.52346,no
One-step dense Newton,hgo_qp_true_j2,cyclic,qp_reversal_eqp_increment_relative_l2,1.09274,1.07461,0.01813,1.65913,yes,1.00173,1.0642,-0.06247,-6.23621,no
One-step dense Newton,hgo_qp_true_j2,cyclic,qp_reversal_plastic_work_increment_relative_l2,1.08649,1.06728,0.01921,1.76808,yes,1.0015,1.05632,-0.05482,-5.47379,no
One-step dense Newton,hgo_qp_true_j2,cyclic,qp_reversal_yield_flag_mae,0.483696,0.439855,0.043841,9.06375,yes,0.509058,0.400362,0.108696,21.3524,yes
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,10.18,9.27224,0.90776,8.91709,yes,8.51417,11.2623,-2.74813,-32.2771,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_energy_relative_error,159.589,142.716,16.873,10.5728,yes,67.5485,159.346,-91.7975,-135.899,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,333.796,345.441,-11.645,-3.48866,no,289.528,288.603,0.925,0.319486,yes
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_initial_residual_relative_rms,9.97258,8.88586,1.08672,10.8971,yes,8.46288,10.5785,-2.11562,-24.9988,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_final_residual_relative_rms,0.000342831,0.000374592,-3.1761e-05,-9.26433,no,0.000309169,0.000263038,4.6131e-05,14.921,yes
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_residual_ratio,4.16534e-05,4.38019e-05,-2.1485e-06,-5.15804,no,2.40653e-05,2.99685e-05,-5.9032e-06,-24.5299,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_step_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_step1_residual_ratio,4.16534e-05,4.38019e-05,-2.1485e-06,-5.15804,no,2.40653e-05,2.99685e-05,-5.9032e-06,-24.5299,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_step1_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_correction_relative_norm,2.31036,2.46418,-0.15382,-6.65784,no,2.63878,1.97309,0.66569,25.2272,yes
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,monotonic,displacement_relative_l2,150.115,154.814,-4.699,-3.13027,no,132.005,132.101,-0.096,-0.0727245,no
One-step dense Newton,hgo_qp_true_j2,monotonic,final_displacement_relative_l2,195.608,201.189,-5.581,-2.85316,no,171.835,168.813,3.022,1.75866,yes
One-step dense Newton,hgo_qp_true_j2,monotonic,qp_history_relative_l2,1.89193,1.81027,0.08166,4.31623,yes,1.81272,2.03025,-0.21753,-12.0002,no
One-step dense Newton,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,2.29735,2.27604,0.02131,0.92759,yes,2.54097,2.5097,0.03127,1.23063,yes
One-step dense Newton,hgo_qp_true_j2,monotonic,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,monotonic,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,monotonic,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,9.8043,8.88356,0.92074,9.39119,yes,8.22466,10.7636,-2.53894,-30.8698,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_energy_relative_error,67.808,64.7992,3.0088,4.43723,yes,36.803,48.957,-12.154,-33.0245,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,136.492,141.853,-5.361,-3.9277,no,117.312,122.05,-4.738,-4.0388,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,9.59892,8.51664,1.08228,11.275,yes,8.17282,10.1237,-1.95088,-23.8703,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,0.000332936,0.000359961,-2.7025e-05,-8.11718,no,0.000298321,0.00025597,4.2351e-05,14.1965,yes
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,4.22529e-05,4.39516e-05,-1.6987e-06,-4.02032,no,2.43629e-05,2.98301e-05,-5.4672e-06,-22.4407,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_ratio,4.22529e-05,4.39516e-05,-1.6987e-06,-4.02032,no,2.43629e-05,2.98301e-05,-5.4672e-06,-22.4407,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,2.48036,2.8591,-0.37874,-15.2696,no,2.14256,1.44749,0.69507,32.4411,yes
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,displacement_relative_l2,118.553,122.197,-3.644,-3.07373,no,104.369,104.43,-0.061,-0.0584465,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,final_displacement_relative_l2,161.242,165.744,-4.502,-2.79208,no,141.735,139.202,2.533,1.78714,yes
One-step dense Newton,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,1.42269,1.37876,0.04393,3.08781,yes,1.38718,1.45045,-0.06327,-4.56105,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,2.06285,2.0401,0.02275,1.10284,yes,2.18047,2.2043,-0.02383,-1.09288,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,7.87038,7.14789,0.72249,9.17986,yes,6.57605,8.61911,-2.04306,-31.0682,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,55.6153,52.1403,3.475,6.24828,yes,30.4751,40.5154,-10.0403,-32.9459,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,110.048,114.034,-3.986,-3.62206,no,95.0322,98.078,-3.0458,-3.20502,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_initial_residual_relative_rms,7.70893,6.8521,0.85683,11.1148,yes,6.53657,8.10896,-1.57239,-24.0553,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_final_residual_relative_rms,0.000265331,0.000290222,-2.4891e-05,-9.38111,no,0.000239454,0.000204341,3.5113e-05,14.6638,yes
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,4.16406e-05,4.3972e-05,-2.3314e-06,-5.59886,no,2.44509e-05,2.98627e-05,-5.4118e-06,-22.1333,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_step1_residual_ratio,4.16406e-05,4.3972e-05,-2.3314e-06,-5.59886,no,2.44509e-05,2.98627e-05,-5.4118e-06,-22.1333,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_step1_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,1.82634,2.10149,-0.27515,-15.0657,no,1.61299,1.12006,0.49293,30.56,yes
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,displacement_relative_l2,136.472,140.727,-4.255,-3.11786,no,120.067,120.213,-0.146,-0.121599,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,final_displacement_relative_l2,188.2,193.593,-5.393,-2.86557,no,165.403,162.629,2.774,1.67712,yes
One-step dense Newton,hgo_qp_true_j2,unload_reload,qp_history_relative_l2,1.6354,1.57876,0.05664,3.46337,yes,1.57684,1.72157,-0.14473,-9.17848,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,qp_history_increment_relative_l2,2.27941,2.25392,0.02549,1.11827,yes,2.45398,2.47612,-0.02214,-0.902208,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,qp_reversal_eqp_increment_relative_l2,3.53759,3.63668,-0.09909,-2.80106,no,1.12792,4.2202,-3.09228,-274.158,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,qp_reversal_plastic_work_increment_relative_l2,3.57704,3.63622,-0.05918,-1.65444,no,1.12358,4.19856,-3.07498,-273.677,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,qp_reversal_yield_flag_mae,0.679842,0.667984,0.011858,1.74423,yes,0.869565,0.687747,0.181818,20.9091,yes
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_residual_relative_rms,9.18409,8.31302,0.87107,9.48455,yes,7.6666,10.0491,-2.3825,-31.0764,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_energy_relative_error,63.0233,59.3789,3.6444,5.78262,yes,34.4765,44.8594,-10.3829,-30.1159,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_solver_linearized_residual_relative_rms,127.351,132.014,-4.663,-3.66153,no,109.92,113.464,-3.544,-3.22416,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_initial_residual_relative_rms,8.9927,7.96814,1.02456,11.3932,yes,7.6204,9.4481,-1.8277,-23.9843,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_final_residual_relative_rms,0.000308756,0.00033559,-2.6834e-05,-8.69101,no,0.000278147,0.000236794,4.1353e-05,14.8673,yes
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_residual_ratio,4.17361e-05,4.37982e-05,-2.0621e-06,-4.94081,no,2.4081e-05,2.99428e-05,-5.8618e-06,-24.342,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_step_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_step1_residual_ratio,4.17361e-05,4.37982e-05,-2.0621e-06,-4.94081,no,2.4081e-05,2.99428e-05,-5.8618e-06,-24.342,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_step1_residual_decrease_fraction,0.999958,0.999956,-2e-06,-0.000200008,no,0.999976,0.99997,-6e-06,-0.000600014,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_correction_relative_norm,2.12376,2.44753,-0.32377,-15.2451,no,1.88055,1.29402,0.58653,31.1893,yes
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
One-step dense Newton,hgo_qp_true_j2,unload_reload,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,displacement_relative_l2,133.171,85.4132,47.7578,35.862,yes,117.103,46.7461,70.3569,60.0812,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,final_displacement_relative_l2,901.625,559.039,342.586,37.9965,yes,791.036,319.06,471.976,59.6656,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,qp_history_relative_l2,1.56931,1.56873,0.00058,0.0369589,yes,1.44659,1.76048,-0.31389,-21.6986,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,1.38132,1.22057,0.16075,11.6374,yes,1.43533,1.05375,0.38158,26.5848,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,qp_reversal_eqp_increment_relative_l2,1.09274,1.07429,0.01845,1.68842,yes,1.00173,1.01411,-0.01238,-1.23586,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,qp_reversal_plastic_work_increment_relative_l2,1.08649,1.06745,0.01904,1.75243,yes,1.0015,1.01053,-0.00903,-0.901648,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,qp_reversal_yield_flag_mae,0.483696,0.462319,0.021377,4.41951,yes,0.509058,0.474638,0.03442,6.76151,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,10.18,8.35489,1.82511,17.9284,yes,8.51417,9.77664,-1.26247,-14.8279,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_energy_relative_error,159.589,102.077,57.512,36.0376,yes,67.5485,126.397,-58.8485,-87.1204,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,333.796,209.992,123.804,37.0897,yes,289.528,118.459,171.069,59.0855,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_initial_residual_relative_rms,9.97258,8.17648,1.7961,18.0104,yes,8.46288,9.56773,-1.10485,-13.0552,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_final_residual_relative_rms,0.000342831,1.02207,-1.02173,-298026,no,0.000309169,1.19597,-1.19566,-386734,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_residual_ratio,4.16534e-05,0.125001,-0.124959,-299998,no,2.40653e-05,0.125,-0.124976,-519320,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_residual_decrease_fraction,0.999958,0.874999,-0.124959,-12.4964,no,0.999976,0.875,-0.124976,-12.4979,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_step_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_step1_residual_ratio,4.16534e-05,0.500001,-0.499959,-1.20028e+06,no,2.40653e-05,0.500001,-0.499977,-2.07758e+06,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_step1_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_correction_relative_norm,2.31036,3.91736,-1.607,-69.5563,no,2.63878,1.64001,0.99877,37.8497,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_accepted_damping,1,0.5,0.5,50,yes,1,0.5,0.5,50,yes
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_convergence_rate,1,0,-1,-100,no,1,0,-1,-100,no
Multi-step damped Newton,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,displacement_relative_l2,150.115,96.3093,53.8057,35.843,yes,132.005,52.4881,79.5169,60.2378,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,final_displacement_relative_l2,195.608,121.247,74.361,38.0153,yes,171.835,68.5477,103.287,60.1084,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,qp_history_relative_l2,1.89193,1.84941,0.04252,2.24744,yes,1.81272,2.1998,-0.38708,-21.3535,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,2.29735,1.76274,0.53461,23.2707,yes,2.54097,1.19635,1.34462,52.9176,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,9.8043,8.00268,1.80162,18.3758,yes,8.22466,9.4152,-1.19054,-14.4752,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_energy_relative_error,67.808,43.3299,24.4781,36.0991,yes,36.803,25.5195,11.2835,30.6592,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,136.492,90.2921,46.1999,33.8481,yes,117.312,47.8044,69.5076,59.2502,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,9.59892,7.83007,1.76885,18.4276,yes,8.17282,9.20615,-1.03333,-12.6435,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,0.000332936,0.978764,-0.978431,-293880,no,0.000298321,1.15078,-1.15048,-385652,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,4.22529e-05,0.125001,-0.124959,-295740,no,2.43629e-05,0.125,-0.124976,-512975,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,0.999958,0.874999,-0.124959,-12.4964,no,0.999976,0.875,-0.124976,-12.4979,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_ratio,4.22529e-05,0.500001,-0.499959,-1.18325e+06,no,2.43629e-05,0.500001,-0.499977,-2.0522e+06,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
